district,state,stCode,dtCode,lat,lon
Chitradurga,Karnataka,29,12,14.304269,76.53278
Chitrakoot,Uttar Pradesh,9,40,25.213646,81.158105
Chittaurgarh,Rajasthan,8,28,24.721156,74.477515
Chittoor,Andhra Pradesh,28,23,13.307441,78.982307
Churachandpur,Manipur,14,3,24.274444,93.441811
Churu,Rajasthan,8,4,28.203907,74.692785
Coimbatore,Tamil Nadu,33,31,10.811453,77.078412
Cuddalore,Tamil Nadu,33,16,11.518611,79.34104
Y.s.r.,Andhra Pradesh,28,20,14.48252,78.656742
Cuttack,Odisha,21,12,20.369416,85.468215
Dadra & Nagar Haveli,Dadara & Nagar Havelli,26,1,20.206508,73.008113
Dakshin Bastar Dantewada,Chhattisgarh,22,17,18.563272,81.552764
Dakshin Dinajpur,West Bengal,19,5,25.382496,88.545327
Dakshina Kannada,Karnataka,29,21,12.82226,75.225601
Daman,Daman & Diu,25,2,20.422154,72.840168
Damoh,Madhya Pradesh,23,11,23.796167,79.543184
Darbhanga,Bihar,10,13,26.156214,86.033568
Darjiling,West Bengal,19,1,26.8325,88.309801
Darrang,Assam,18,26,26.438251,92.008127
Data Not Available,Jammu & Kashmir,99,99,34.918438,75.568427
Datia,Madhya Pradesh,23,5,25.918017,78.567435
Davanagere,Karnataka,29,13,14.367957,75.887885
Debagarh,Odisha,21,4,21.435346,84.745688
Dehradun,Uttarakhand,5,5,30.459433,77.92979
Deoghar,Jharkhand,20,5,24.332221,86.714661
Deoria,Uttar Pradesh,9,59,26.424352,83.764551
Dewas,Madhya Pradesh,23,20,22.807194,76.286211
Dhalai,Tripura,16,3,23.827503,91.969258
Dhamtari,Chhattisgarh,22,13,20.537326,81.71683
Dhanbad,Jharkhand,20,9,23.837742,86.468543
Dhar,Madhya Pradesh,23,21,22.577517,75.225573
Dharmapuri,Tamil Nadu,33,29,12.142984,78.126496
Dharwad,Karnataka,29,8,15.369336,75.135384
Dhaulpur,Rajasthan,8,8,26.654195,77.635821
Dhemaji,Assam,18,9,27.546165,94.557283
Dhenkanal,Odisha,21,14,20.834758,85.604196
Dhubri,Assam,18,2,25.931918,89.989343
Dhule,Maharashtra,27,2,21.131482,74.478739
Dibang Valley,Arunanchal Pradesh,12,13,28.968173,95.722663
Dibrugarh,Assam,18,11,27.40268,94.997618
Dindigul,Tamil Nadu,33,11,10.425836,77.816402
Dindori,Madhya Pradesh,23,36,22.905935,80.905096
Diu,Daman & Diu,25,1,20.719448,70.930834
Doda,Jammu & Kashmir,1,16,33.12461,75.552911
Dohad,Gujarat,24,18,22.917826,74.136674
Dumka,Jharkhand,20,17,24.312073,87.311507
Dungarpur,Rajasthan,8,26,23.677623,73.818748
Durg,Chhattisgarh,22,10,21.201069,81.401993
Dimapur,Nagaland,13,5,25.804421,93.80986
East,NCT of Delhi,7,4,28.624979,77.300022
East,Sikkim,11,4,27.279761,88.678336
East Garo Hills,Meghalaya,17,2,25.712979,90.697475
East Godavari,Andhra Pradesh,28,14,17.162059,82.056579
East Kameng,Arunanchal Pradesh,12,3,27.444854,93.066113
East Khasi Hills,Meghalaya,17,6,25.386165,91.826988
East Nimar,Madhya Pradesh,23,49,21.97771,76.655116
East Siang,Arunanchal Pradesh,12,7,28.155319,95.400607
Ernakulam,Kerala,32,8,10.044711,76.497575
Erode,Tamil Nadu,33,9,11.488673,77.353068
Etah,Uttar Pradesh,9,70,27.546436,78.772361
Etawah,Uttar Pradesh,9,30,26.713941,79.085773
Faizabad,Uttar Pradesh,9,46,26.663015,81.974708
Faridabad,Haryana,6,20,28.33035,77.312526
Faridkot,Punjab,3,11,30.598206,74.797021
Farrukhabad,Uttar Pradesh,9,28,27.436925,79.497756
Fatehabad,Haryana,6,10,29.534719,75.574841
Fatehgarh Sahib,Punjab,3,6,30.643913,76.341068
Fatehpur,Uttar Pradesh,9,41,25.83325,80.914582
Firozabad,Uttar Pradesh,9,16,27.194578,78.486849
Firozpur,Punjab,3,9,30.553956,74.240851
Gadag,Karnataka,29,7,15.416126,75.682061
Gajapati,Odisha,21,20,19.193402,84.180659
Ganderbal,Jammu & Kashmir,1,11,34.321233,75.114715
Gandhinagar,Gujarat,24,6,23.279901,72.66815
Ganganagar,Rajasthan,8,1,29.453483,73.563478
Ganjam,Odisha,21,19,19.631134,84.709589
Garhchiroli,Maharashtra,27,12,19.753284,80.169847
Garhwa,Jharkhand,20,1,24.048015,83.655941
Garhwal,Uttarakhand,5,6,29.88235,78.68295
Gautam Buddha Nagar,Uttar Pradesh,9,10,28.382137,77.583871
Gaya,Bihar,10,34,24.678832,85.009042
Ghaziabad,Uttar Pradesh,9,9,28.735404,77.703198
Ghazipur,Uttar Pradesh,9,64,25.601218,83.510102
Giridih,Jharkhand,20,4,24.334593,86.164777
Goalpara,Assam,18,3,26.062752,90.579937
Godda,Jharkhand,20,6,24.866211,87.306626
Golaghat,Assam,18,14,26.326818,94.006222
Gonda,Uttar Pradesh,9,52,27.110841,81.927269
Gondiya,Maharashtra,27,11,21.144273,80.269525
Gopalganj,Bihar,10,15,26.423651,84.373058
Gorakhpur,Uttar Pradesh,9,57,26.676398,83.369091
Gulbarga,Karnataka,29,25,17.238217,76.769717
Gumla,Jharkhand,20,21,23.158563,84.464532
Guna,Madhya Pradesh,23,41,24.498585,77.259309
Guntur,Andhra Pradesh,28,17,16.286797,80.183614
Gurdaspur,Punjab,3,1,32.086122,75.400962
Gurgaon,Haryana,6,18,28.368637,76.94237
Gwalior,Madhya Pradesh,23,4,26.021506,78.152121
Hailakandi,Assam,18,19,24.506351,92.631714
Hamirpur,Himachal Pradesh,2,6,31.654803,76.539537
Hamirpur,Uttar Pradesh,9,37,25.781805,79.833306
Hanumangarh,Rajasthan,8,2,29.366726,74.272523
Haora,West Bengal,19,15,22.499493,88.035614
Harda,Madhya Pradesh,23,31,22.244698,77.102339
Hardoi,Uttar Pradesh,9,24,27.337603,80.100078
Hardwar,Uttarakhand,5,13,29.892166,78.001224
Hassan,Karnataka,29,20,13.029345,76.173548
Mahamaya Nagar,Uttar Pradesh,9,13,27.546782,78.084238
Haveri,Karnataka,29,10,14.716571,75.389184
Hazaribagh,Jharkhand,20,15,24.014509,85.560284
Hingoli,Maharashtra,27,16,19.541426,77.218678
Hisar,Haryana,6,12,29.239951,75.813675
Hoshangabad,Madhya Pradesh,23,32,22.601457,77.926276
Hoshiarpur,Punjab,3,4,31.605974,75.860351
Hugli,West Bengal,19,12,22.913204,88.016588
Hyderabad,Andhra Pradesh,28,5,17.389313,78.456565
Idukki,Kerala,32,9,9.813512,77.001828
Imphal East,Manipur,14,7,24.812162,93.939188
Imphal West,Manipur,14,6,24.703783,93.138512
Indore,Madhya Pradesh,23,22,22.711413,75.805936
Jabalpur,Madhya Pradesh,23,34,23.219897,79.981124
Jagatsinghapur,Odisha,21,11,20.186586,86.350012
Jaintia Hills,Meghalaya,17,7,25.390119,92.403344
Jaipur,Rajasthan,8,12,27.151406,75.75401
Jaisalmer,Rajasthan,8,16,27.029951,70.786297
Jajapur,Odisha,21,13,20.872739,86.121446
Jalandhar,Punjab,3,3,31.29317,75.568722
Jalaun,Uttar Pradesh,9,34,26.106284,79.386237
Jalgaon,Maharashtra,27,3,20.841847,75.528666
Jalna,Maharashtra,27,18,19.963265,75.82791
Jalor,Rajasthan,8,18,25.20951,72.315071
Jalpaiguri,West Bengal,19,2,26.628449,89.141199
Jammu,Jammu & Kashmir,1,21,32.750982,74.904795
Jamnagar,Gujarat,24,10,22.330597,70.062696
Jamtara,Jharkhand,20,18,23.982028,86.932199
Jamui,Bihar,10,36,24.757427,86.303741
Janjgir-champa,Chhattisgarh,22,6,21.968702,82.666058
Jashpur,Chhattisgarh,22,3,22.770084,83.974701
Jaunpur,Uttar Pradesh,9,63,25.794406,82.48868
Jhabua,Madhya Pradesh,23,47,22.88392,74.727457
Jhajjar,Haryana,6,15,28.614673,76.66848
Jhalawar,Rajasthan,8,31,24.31397,76.528778
Jhansi,Uttar Pradesh,9,35,25.52861,78.650339
Jharsuguda,Odisha,21,2,21.801134,84.017648
Jhunjhunun,Rajasthan,8,5,28.080053,75.536721
Jodhpur,Rajasthan,8,15,26.737319,72.872592
Jorhat,Assam,18,13,26.764957,94.262476
Junagadh,Gujarat,24,12,21.20278,70.413166
