district,state,stCode,dtCode,lat,lon
Mon,Nagaland,13,1,26.737795,95.020622
Moradabad,Uttar Pradesh,9,4,28.805498,78.777616
Morena,Madhya Pradesh,23,2,26.386005,77.85953
Muktsar,Punjab,3,10,30.283478,74.525892
Mumbai,Maharashtra,27,23,18.949996,72.86512
Mumbai Suburban,Maharashtra,27,22,19.124036,72.900433
Munger,Bihar,10,24,25.222187,86.517935
Murshidabad,West Bengal,19,7,24.287587,88.375135
Muzaffarnagar,Uttar Pradesh,9,2,29.443511,77.589541
Muzaffarpur,Bihar,10,14,26.14815,85.333957
Mysore,Karnataka,29,23,12.196476,76.612061
Nabarangapur,Odisha,21,28,19.626054,82.294249
Nadia,West Bengal,19,10,23.487544,88.5632
Nagaon,Assam,18,6,26.205393,92.611056
Nagaur,Rajasthan,8,14,27.06026,74.205873
Nagpur,Maharashtra,27,9,21.149349,79.018148
Nainital,Uttarakhand,5,11,29.293867,79.41607
Nalanda,Bihar,10,27,25.214571,85.453296
Nalbari,Assam,18,24,26.359282,91.401553
Nalgonda,Andhra Pradesh,28,8,17.091397,79.415551
Namakkal,Tamil Nadu,33,8,11.302396,78.119696
Nanded,Maharashtra,27,15,19.096346,77.484329
Nandurbar,Maharashtra,27,1,21.512896,74.543916
Narayanpur,Chhattisgarh,22,16,19.660065,81.079473
Narmada,Gujarat,24,20,21.73709,73.626312
Narsimhapur,Madhya Pradesh,23,35,22.934792,79.085685
Nashik,Maharashtra,27,20,20.225704,74.100441
Navsari,Gujarat,24,23,20.827785,73.031949
Nawada,Bihar,10,35,24.817989,85.524085
Nayagarh,Odisha,21,16,20.238889,85.052516
Neemuch,Madhya Pradesh,23,15,24.646462,75.187293
Sri Potti Sriramulu Nellore,Andhra Pradesh,28,19,14.292617,79.782486
New Delhi,NCT of Delhi,7,5,28.611289,77.221121
Nizamabad,Andhra Pradesh,28,2,18.54018,78.118368
North,NCT of Delhi,7,2,28.718552,77.22494
North,Sikkim,11,1,27.755073,88.52374
North 24 Parganas,West Bengal,19,11,22.806298,88.660425
Dima Hasao,Assam,18,16,25.393372,93.083657
North East,NCT of Delhi,7,3,28.721439,77.269122
North Goa,Goa,30,1,15.533774,74.018778
North Tripura,Tripura,16,4,24.090444,92.199769
North West,NCT of Delhi,7,1,28.778025,77.077133
Nuapada,Odisha,21,25,20.53814,82.53022
Osmanabad,Maharashtra,27,29,18.169653,76.119222
Pakur,Jharkhand,20,8,24.533099,87.597187
Palakkad,Kerala,32,6,10.788213,76.474673
Palamu,Jharkhand,20,13,24.214251,84.175906
Pali,Rajasthan,8,20,25.608974,73.414363
Palwal,Haryana,6,21,28.060136,77.296336
Panch Mahals,Gujarat,24,17,22.870025,73.627993
Panchkula,Haryana,6,1,30.699993,76.991698
Panipat,Haryana,6,7,29.328494,76.901842
Panna,Madhya Pradesh,23,9,24.448292,80.147644
Papum Pare,Arunanchal Pradesh,12,4,27.303807,93.635515
Parbhani,Maharashtra,27,17,19.307343,76.553316
Pashchim Champaran,Bihar,10,1,27.051982,84.333813
Pashchim Medinipur,West Bengal,19,18,22.354182,87.242997
Pashchimi Singhbhum,Jharkhand,20,23,22.428159,85.532346
Patan,Gujarat,24,3,23.769328,71.678153
Pathanamthitta,Kerala,32,12,9.280959,76.975203
Patiala,Punjab,3,14,30.234439,76.335688
Patna,Bihar,10,28,25.466637,85.193122
Perambalur,Tamil Nadu,33,14,11.285874,78.932326
Peren,Nagaland,13,11,25.44794,93.618788
Phek,Nagaland,13,6,25.686632,94.394443
Pilibhit,Uttar Pradesh,9,20,28.500809,80.090297
Pithoragarh,Uttarakhand,5,7,30.124472,80.479189
Porbandar,Gujarat,24,11,21.602217,69.853109
Prakasam,Andhra Pradesh,28,18,15.635521,79.511292
Pratapgarh,Rajasthan,8,33,24.016831,74.657426
Pratapgarh,Uttar Pradesh,9,42,25.873749,81.833446
Pudukkottai,Tamil Nadu,33,20,10.289661,78.819131
Pulwama,Jammu & Kashmir,1,12,33.935009,75.057623
Punch,Jammu & Kashmir,1,5,33.699508,74.18136
Pune,Maharashtra,27,25,18.642541,73.921461
Purba Champaran,Bihar,10,2,26.639775,84.902546
Purba Medinipur,West Bengal,19,19,22.058472,87.748633
Purbi Singhbhum,Jharkhand,20,12,22.615764,86.386573
Puri,Odisha,21,18,19.830801,85.656278
Purnia,Bihar,10,9,25.77862,87.413511
Puruliya,West Bengal,19,14,23.202095,86.300928
Rae Bareli,Uttar Pradesh,9,27,26.207365,81.220616
Raichur,Karnataka,29,5,16.05353,76.903001
Raigarh,Chhattisgarh,22,4,22.066125,83.309305
Raigarh,Maharashtra,27,24,18.492929,73.141327
Raipur,Chhattisgarh,22,11,20.82895,82.126896
Raisen,Madhya Pradesh,23,29,23.267835,78.177085
Rajouri,Jammu & Kashmir,1,6,33.32047,74.40097
Rajgarh,Madhya Pradesh,23,25,23.868069,76.775553
Rajkot,Gujarat,24,9,22.347004,70.769197
Rajnandgaon,Chhattisgarh,22,9,20.971743,80.697234
Rajsamand,Rajasthan,8,25,25.299237,73.828204
Ramanagara,Karnataka,29,30,12.720415,77.319485
Ramanathapuram,Tamil Nadu,33,25,9.519687,78.520162
Ramban,Jammu & Kashmir,1,17,33.332691,75.204768
Ramgarh,Jharkhand,20,16,23.678086,85.518324
Rampur,Uttar Pradesh,9,5,28.776373,79.17397
Ranchi,Jharkhand,20,19,23.300193,85.388613
Rangareddy,Andhra Pradesh,28,6,17.283305,78.108315
Ratlam,Madhya Pradesh,23,17,23.501865,74.956298
Ratnagiri,Maharashtra,27,32,17.281691,73.445592
Rayagada,Odisha,21,27,19.440919,83.588048
Reasi,Jammu & Kashmir,1,20,33.194987,74.774301
Rewa,Madhya Pradesh,23,13,24.756326,81.655029
Rewari,Haryana,6,17,28.215989,76.583946
Ri Bhoi,Meghalaya,17,5,25.878349,91.862992
Rohtak,Haryana,6,14,28.892607,76.575769
Rohtas,Bihar,10,32,24.938691,84.022148
Rudraprayag,Uttarakhand,5,3,30.512359,79.047377
Rupnagar,Punjab,3,17,31.086769,76.528607
Sabar Kantha,Gujarat,24,5,23.776197,73.083733
Sagar,Madhya Pradesh,23,10,23.809309,78.758674
Saharanpur,Uttar Pradesh,9,1,29.984536,77.505477
Saharsa,Bihar,10,12,25.838005,86.612875
Sahibganj,Jharkhand,20,7,25.034488,87.692465
Sahibzada Ajit Singh Nagar,Punjab,3,18,30.646607,76.751152
Saiha,Mizoram,15,8,22.374908,93.075867
Salem,Tamil Nadu,33,7,11.644593,78.210816
Samastipur,Bihar,10,19,25.776531,86.007909
Samba,Jammu & Kashmir,1,22,32.589035,75.139646
Sambalpur,Odisha,21,3,21.55243,84.159043
Sangli,Maharashtra,27,35,17.171727,74.592373
Sangrur,Punjab,3,19,30.207698,75.820313
Sant Kabir Nagar,Uttar Pradesh,9,55,26.75685,83.044051
Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,9,67,25.358088,82.502696
Saraikela-kharsawan,Jharkhand,20,24,22.819231,85.918933
Saran (chhapra),Bihar,10,17,25.923425,84.773791
Satara,Maharashtra,27,31,17.638561,74.30012
Satna,Madhya Pradesh,23,12,24.579759,80.812026
Sehore,Madhya Pradesh,23,28,23.122833,77.086651
Senapati,Manipur,14,1,25.103136,93.964926
Seoni,Madhya Pradesh,23,39,22.271568,79.720121
Serchhip,Mizoram,15,5,23.26567,92.852855
Shahdol,Madhya Pradesh,23,43,23.653254,81.431235
Shahid Bhagat Singh Nagar,Punjab,3,5,31.12739,76.162332
Shahjahanpur,Uttar Pradesh,9,21,27.964891,79.787099
Shajapur,Madhya Pradesh,23,19,23.717509,76.130834
Sheikhpura,Bihar,10,26,25.125007,85.813898
Sheohar,Bihar,10,3,26.521502,85.305471
Sheopur,Madhya Pradesh,23,1,25.746713,76.9261
Shimla,Himachal Pradesh,2,11,31.239912,77.716935
Shimoga,Karnataka,29,14,14.054586,75.238066
Shivpuri,Madhya Pradesh,23,6,25.376424,77.828129
Shrawasti,Uttar Pradesh,9,50,27.607154,81.862069
Shupiyan,Jammu & Kashmir,1,13,33.7225,74.798181
Sivasagar,Assam,18,12,26.993922,94.807164
Siddharth Nagar,Uttar Pradesh,9,53,27.261399,82.869666
Sidhi,Madhya Pradesh,23,45,24.2122,81.700386
Sikar,Rajasthan,8,13,27.661932,75.02998
Simdega,Jharkhand,20,22,22.586922,84.54992
Sindhudurg,Maharashtra,27,33,16.134074,73.662403
Singrauli,Madhya Pradesh,23,46,24.243928,82.382027
Sirmaur,Himachal Pradesh,2,10,30.701239,77.446892
Sirohi,Rajasthan,8,19,24.800136,72.828147
Sirsa,Haryana,6,11,29.608964,74.903903
Sitamarhi,Bihar,10,4,26.572247,85.58555
Sitapur,Uttar Pradesh,9,23,27.502871,80.834807
Sivaganga,Tamil Nadu,33,21,9.963392,78.721863
Siwan,Bihar,10,16,26.130312,84.391644
Solan,Himachal Pradesh,2,9,31.056985,76.851657
Solapur,Maharashtra,27,30,17.834245,75.296547
Subarnapur,Odisha,21,23,20.853325,83.851435
Sonbhadra,Uttar Pradesh,9,69,24.38875,83.080239
Sonipat,Haryana,6,8,29.049369,76.934306
Sonitpur,Assam,18,7,26.765404,93.001382
South,NCT of Delhi,7,9,28.50452,77.252167
South,Sikkim,11,3,27.303904,88.382761
South 24 Parganas,West Bengal,19,17,22.177779,88.388153
South Garo Hills,Meghalaya,17,3,25.345656,90.56656
South Goa,Goa,30,2,15.1962,74.122091
South Tripura,Tripura,16,2,23.353012,91.610518
South West,NCT of Delhi,7,8,28.576078,77.028081
Srikakulam,Andhra Pradesh,28,11,18.623259,83.971641
Srinagar,Jammu & Kashmir,1,10,34.158328,74.937742
Sultanpur,Uttar Pradesh,9,48,26.314916,81.991194
Sundargarh,Odisha,21,5,22.06044,83.933678
Supaul,Bihar,10,6,26.280496,86.783083
Surat,Gujarat,24,25,21.190279,72.951485
Surendranagar,Gujarat,24,8,22.824426,71.489514
Surguja,Chhattisgarh,22,2,23.366704,83.340169
Tamenglong,Manipur,14,2,24.976484,93.527118
Tarn Taran,Punjab,3,16,31.325435,74.843095
Tawang,Arunanchal Pradesh,12,1,27.659344,91.944628
Tehri Garhwal,Uttarakhand,5,4,30.466098,78.489279
Thane,Maharashtra,27,21,19.606067,73.152237
Thanjavur,Tamil Nadu,33,19,10.660909,79.1926
The Dangs,Gujarat,24,22,20.785436,73.710119
The Nilgiris,Tamil Nadu,33,10,11.446762,76.697804
Theni,Tamil Nadu,33,23,9.867994,77.424694
Thiruvallur,Tamil Nadu,33,1,13.253865,80.053755
Thiruvananthapuram,Kerala,32,14,8.576931,77.052677
Thiruvarur,Tamil Nadu,33,18,10.64392,79.507143
